Lead_ID,Lead_Date,Patient_ID,Lead_Source,Campaign,Clinic,Lead_Status,First_Response_Minutes,Appointment_Booked,Appointment_Date
L01804,09-01-2025,P01804,Facebook,General Dentistry,Clinic D,Appointment Booked,19,Yes,11-01-2025
L01805,05-01-2025,,Instagram,Dental Crown,Clinic C,Contacted - No Appointment,40,No,
L01806,25-04-2025,P01806,Referral,Teeth Whitening,Clinic D,Appointment Booked,4,Yes,05-05-2025
L01807,21-04-2025,P01807,Instagram,Invisalign,Clinic A,Appointment Booked,9,Yes,28-04-2025
L01808,01-10-2025,,Referral,Root Canal,Clinic B,Contacted - No Appointment,14,No,
L01809,01-07-2025,,Instagram,Dental Implant,Clinic C,Contacted - No Appointment,32,No,
L01810,21-08-2025,P01810,Instagram,Root Canal,Clinic D,Appointment Booked,24,Yes,23-08-2025
L01811,21-08-2025,P01811,Google Ads,Root Canal,Clinic A,Appointment Booked,10,Yes,23-08-2025
L01812,07-08-2025,,Google Ads,General Dentistry,Clinic D,Contacted - No Appointment,21,No,
L01813,21-03-2025,,Instagram,Dental Crown,Clinic D,Contacted - No Appointment,4,No,
L01814,24-09-2025,,Facebook,Teeth Whitening,Clinic B,Contacted - No Appointment,5,No,
L01815,07-06-2025,,Google Organic,Invisalign,Clinic D,Contacted - No Appointment,5,No,
L01816,13-10-2025,P01816,Facebook,General Dentistry,Clinic C,Appointment Booked,8,Yes,18-10-2025
L01817,19-11-2025,P01817,Referral,Dental Crown,Clinic B,Appointment Booked,31,Yes,27-11-2025
L01818,26-02-2025,P01818,Referral,Dental Crown,Clinic B,Appointment Booked,25,Yes,27-02-2025
L01819,24-07-2025,,Google Ads,Invisalign,Clinic C,Contacted - No Appointment,15,No,
L01820,14-03-2025,,Facebook,Root Canal,Clinic C,Contacted - No Appointment,32,No,
L01821,15-01-2025,,Instagram,Dental Crown,Clinic B,Contacted - No Appointment,42,No,
L01822,19-05-2025,,Facebook,Dental Crown,Clinic C,Contacted - No Appointment,8,No,
L01823,13-01-2025,,Google Ads,General Dentistry,Clinic C,Contacted - No Appointment,39,No,
L01824,21-02-2025,,Google Organic,General Dentistry,Clinic C,Contacted - No Appointment,10,No,
L01825,14-07-2025,,Referral,General Dentistry,Clinic A,Contacted - No Appointment,12,No,
L01826,18-07-2025,P01826,Google Organic,Dental Crown,Clinic D,Appointment Booked,56,Yes,29-07-2025
L01827,29-12-2025,,Facebook,General Dentistry,Clinic B,Contacted - No Appointment,21,No,
L01828,27-10-2025,,Facebook,General Dentistry,Clinic B,Contacted - No Appointment,13,No,
L01829,17-02-2025,P01829,Facebook,Invisalign,Clinic A,Appointment Booked,28,Yes,18-02-2025
L01830,22-12-2025,P01830,Facebook,Root Canal,Clinic B,Appointment Booked,34,Yes,03-01-2026
L01831,19-04-2025,,Facebook,Invisalign,Clinic D,Contacted - No Appointment,21,No,
L01832,26-10-2025,P01832,Google Ads,Dental Implant,Clinic B,Appointment Booked,13,Yes,05-11-2025
L01833,24-12-2025,P01833,Referral,Invisalign,Clinic C,Appointment Booked,24,Yes,05-01-2026
L01834,18-07-2025,P01834,Google Organic,Dental Implant,Clinic A,Appointment Booked,29,Yes,21-07-2025
L01835,02-08-2025,,Google Organic,Teeth Whitening,Clinic B,Contacted - No Appointment,17,No,
L01836,08-02-2025,,Referral,Root Canal,Clinic D,Not Contacted/Cold,54,No,
L01837,10-08-2025,,Google Ads,Invisalign,Clinic D,Contacted - No Appointment,23,No,
L01838,14-10-2025,,Google Ads,Teeth Whitening,Clinic A,Contacted - No Appointment,33,No,
L01839,08-03-2025,,Google Organic,General Dentistry,Clinic B,Contacted - No Appointment,34,No,
L01840,05-10-2025,,Referral,General Dentistry,Clinic A,Contacted - No Appointment,6,No,
L01841,15-08-2025,,Instagram,Dental Crown,Clinic B,Contacted - No Appointment,28,No,
L01842,13-05-2025,P01842,Google Ads,Root Canal,Clinic D,Appointment Booked,30,Yes,21-05-2025
L01843,27-07-2025,P01843,Google Organic,Invisalign,Clinic D,Appointment Booked,13,Yes,07-08-2025
L01844,15-04-2025,,Google Ads,Invisalign,Clinic A,Contacted - No Appointment,11,No,
L01845,03-06-2025,P01845,Facebook,Invisalign,Clinic D,Appointment Booked,5,Yes,11-06-2025
L01846,06-11-2025,,Google Ads,Root Canal,Clinic C,Contacted - No Appointment,44,No,
L01847,01-11-2025,P01847,Referral,General Dentistry,Clinic B,Appointment Booked,10,Yes,11-11-2025
L01848,02-11-2025,P01848,Facebook,Dental Implant,Clinic B,Appointment Booked,6,Yes,08-11-2025
L01849,20-09-2025,,Referral,Invisalign,Clinic C,Contacted - No Appointment,15,No,
L01850,30-09-2025,,Google Ads,Invisalign,Clinic C,Contacted - No Appointment,9,No,
L01851,08-09-2025,,Facebook,Teeth Whitening,Clinic B,Contacted - No Appointment,6,No,
L01852,01-02-2025,,Referral,Root Canal,Clinic B,Not Contacted/Cold,71,No,
L01853,28-08-2025,P01853,Google Ads,Root Canal,Clinic A,Appointment Booked,8,Yes,05-09-2025
L01854,22-03-2025,P01854,Instagram,Dental Implant,Clinic D,Appointment Booked,10,Yes,27-03-2025
L01855,22-11-2025,,Facebook,Root Canal,Clinic C,Contacted - No Appointment,21,No,
L01856,14-06-2025,,Google Organic,Dental Implant,Clinic A,Contacted - No Appointment,5,No,
L01857,31-03-2025,P01857,Google Ads,Root Canal,Clinic D,Appointment Booked,18,Yes,03-04-2025
L01858,14-02-2025,P01858,Facebook,Dental Implant,Clinic D,Appointment Booked,29,Yes,15-02-2025
L01859,14-08-2025,,Google Organic,Teeth Whitening,Clinic D,Contacted - No Appointment,22,No,
L01860,13-09-2025,P01860,Facebook,Dental Crown,Clinic B,Appointment Booked,26,Yes,26-09-2025
L01861,22-11-2025,,Google Ads,Teeth Whitening,Clinic A,Contacted - No Appointment,17,No,
L01862,29-07-2025,,Google Organic,Root Canal,Clinic C,Contacted - No Appointment,13,No,
L01863,07-10-2025,P01863,Facebook,Root Canal,Clinic A,Appointment Booked,26,Yes,20-10-2025
L01864,25-11-2025,,Google Ads,Dental Implant,Clinic D,Contacted - No Appointment,25,No,
L01865,07-05-2025,,Instagram,Root Canal,Clinic A,Contacted - No Appointment,8,No,
L01866,27-04-2025,,Referral,Root Canal,Clinic A,Contacted - No Appointment,20,No,
L01867,24-12-2025,P01867,Google Ads,Root Canal,Clinic B,Appointment Booked,18,Yes,26-12-2025
L01868,03-12-2025,P01868,Instagram,Teeth Whitening,Clinic B,Appointment Booked,29,Yes,17-12-2025
L01869,21-11-2025,P01869,Google Organic,General Dentistry,Clinic D,Appointment Booked,24,Yes,28-11-2025
L01870,19-09-2025,,Google Ads,Teeth Whitening,Clinic B,Contacted - No Appointment,41,No,
L01871,02-08-2025,,Google Ads,Dental Implant,Clinic A,Contacted - No Appointment,34,No,
L01872,18-03-2025,,Facebook,Dental Crown,Clinic B,Contacted - No Appointment,37,No,
L01873,21-03-2025,,Google Organic,Dental Implant,Clinic B,Contacted - No Appointment,30,No,
L01874,15-04-2025,,Google Ads,Dental Crown,Clinic A,Contacted - No Appointment,36,No,
L01875,08-10-2025,P01875,Google Organic,Root Canal,Clinic C,Appointment Booked,14,Yes,20-10-2025
L01876,17-05-2025,P01876,Instagram,Dental Implant,Clinic C,Appointment Booked,34,Yes,27-05-2025
L01877,11-06-2025,,Facebook,General Dentistry,Clinic C,Contacted - No Appointment,18,No,
L01878,27-02-2025,P01878,Facebook,Dental Crown,Clinic D,Appointment Booked,6,Yes,13-03-2025
L01879,19-07-2025,,Referral,Root Canal,Clinic D,Contacted - No Appointment,33,No,
L01880,17-02-2025,P01880,Google Ads,Dental Implant,Clinic D,Appointment Booked,22,Yes,03-03-2025
L01881,02-09-2025,,Facebook,Root Canal,Clinic A,Not Contacted/Cold,46,No,
L01882,02-06-2025,,Instagram,General Dentistry,Clinic A,Contacted - No Appointment,20,No,
L01883,04-02-2025,P01883,Google Ads,Dental Crown,Clinic B,Appointment Booked,10,Yes,18-02-2025
L01884,10-10-2025,,Google Ads,General Dentistry,Clinic D,Contacted - No Appointment,12,No,
L01885,28-09-2025,,Google Ads,Dental Implant,Clinic D,Contacted - No Appointment,16,No,
L01886,08-02-2025,P01886,Facebook,Dental Crown,Clinic D,Appointment Booked,23,Yes,22-02-2025
L01887,22-05-2025,P01887,Google Ads,Teeth Whitening,Clinic A,Appointment Booked,36,Yes,02-06-2025
L01888,08-09-2025,,Google Organic,Root Canal,Clinic D,Contacted - No Appointment,22,No,
L01889,14-10-2025,,Referral,Dental Implant,Clinic B,Contacted - No Appointment,8,No,
L01890,29-01-2025,P01890,Google Ads,Dental Crown,Clinic A,Appointment Booked,23,Yes,01-02-2025
L01891,09-10-2025,P01891,Facebook,Dental Crown,Clinic B,Appointment Booked,40,Yes,21-10-2025
L01892,02-11-2025,P01892,Google Ads,Teeth Whitening,Clinic A,Appointment Booked,21,Yes,13-11-2025
L01893,04-04-2025,P01893,Google Ads,Teeth Whitening,Clinic C,Appointment Booked,25,Yes,09-04-2025
L01894,02-03-2025,P01894,Facebook,Teeth Whitening,Clinic B,Appointment Booked,18,Yes,13-03-2025
L01895,06-05-2025,,Facebook,Dental Crown,Clinic B,Contacted - No Appointment,18,No,
L01896,24-09-2025,,Referral,Invisalign,Clinic C,Contacted - No Appointment,37,No,
L01897,26-08-2025,,Facebook,Root Canal,Clinic D,Contacted - No Appointment,31,No,
L01898,08-08-2025,,Facebook,Teeth Whitening,Clinic C,Not Contacted/Cold,75,No,
L01899,28-09-2025,P01899,Google Ads,General Dentistry,Clinic B,Appointment Booked,13,Yes,01-10-2025
L01900,19-07-2025,,Google Ads,Dental Implant,Clinic D,Contacted - No Appointment,11,No,
L01901,02-09-2025,,Referral,Root Canal,Clinic D,Contacted - No Appointment,6,No,
L01902,09-09-2025,,Google Ads,Invisalign,Clinic A,Contacted - No Appointment,16,No,
L01903,28-10-2025,,Referral,Invisalign,Clinic C,Contacted - No Appointment,18,No,
L01904,03-05-2025,P01904,Google Ads,Root Canal,Clinic B,Appointment Booked,11,Yes,04-05-2025
L01905,10-10-2025,,Instagram,Dental Crown,Clinic A,Contacted - No Appointment,26,No,
L01906,13-06-2025,P01906,Referral,Dental Implant,Clinic C,Appointment Booked,32,Yes,24-06-2025
L01907,23-08-2025,,Google Ads,Teeth Whitening,Clinic D,Contacted - No Appointment,25,No,
L01908,23-11-2025,,Facebook,Teeth Whitening,Clinic A,Contacted - No Appointment,8,No,
L01909,19-10-2025,,Google Organic,General Dentistry,Clinic D,Contacted - No Appointment,12,No,
L01910,19-01-2025,,Google Ads,Invisalign,Clinic D,Contacted - No Appointment,20,No,
L01911,11-09-2025,P01911,Google Organic,Dental Crown,Clinic D,Appointment Booked,39,Yes,25-09-2025
L01912,02-05-2025,,Google Ads,Root Canal,Clinic B,Contacted - No Appointment,17,No,
L01913,26-04-2025,,Google Ads,Invisalign,Clinic D,Contacted - No Appointment,3,No,
L01914,17-06-2025,P01914,Google Ads,Dental Crown,Clinic B,Appointment Booked,16,Yes,18-06-2025
L01915,23-12-2025,,Referral,Teeth Whitening,Clinic C,Contacted - No Appointment,19,No,
L01916,14-02-2025,,Google Ads,Dental Implant,Clinic A,Not Contacted/Cold,49,No,
L01917,25-02-2025,P01917,Google Ads,General Dentistry,Clinic A,Appointment Booked,3,Yes,03-03-2025
L01918,28-09-2025,,Instagram,Teeth Whitening,Clinic C,Contacted - No Appointment,32,No,
L01919,10-08-2025,,Facebook,Teeth Whitening,Clinic B,Contacted - No Appointment,6,No,
L01920,12-03-2025,P01920,Facebook,Teeth Whitening,Clinic A,Appointment Booked,14,Yes,21-03-2025
L01921,18-01-2025,P01921,Google Ads,Root Canal,Clinic A,Appointment Booked,25,Yes,20-01-2025
L01922,15-05-2025,,Google Organic,Teeth Whitening,Clinic C,Contacted - No Appointment,35,No,
L01923,15-06-2025,,Instagram,Root Canal,Clinic A,Contacted - No Appointment,12,No,
L01924,15-04-2025,,Facebook,General Dentistry,Clinic D,Contacted - No Appointment,14,No,
L01925,10-08-2025,P01925,Google Ads,Dental Implant,Clinic A,Appointment Booked,17,Yes,14-08-2025
L01926,24-01-2025,,Instagram,Invisalign,Clinic A,Contacted - No Appointment,11,No,
L01927,11-09-2025,,Google Organic,Dental Crown,Clinic B,Not Contacted/Cold,46,No,
L01928,06-05-2025,,Facebook,Invisalign,Clinic B,Contacted - No Appointment,22,No,
L01929,21-10-2025,P01929,Google Ads,Root Canal,Clinic B,Appointment Booked,30,Yes,26-10-2025
L01930,25-04-2025,,Google Ads,Root Canal,Clinic B,Contacted - No Appointment,17,No,
L01931,03-12-2025,,Google Organic,General Dentistry,Clinic D,Contacted - No Appointment,17,No,
L01932,09-11-2025,,Referral,Root Canal,Clinic C,Contacted - No Appointment,37,No,
L01933,29-09-2025,P01933,Google Ads,Root Canal,Clinic A,Appointment Booked,19,Yes,09-10-2025
L01934,24-05-2025,,Facebook,Invisalign,Clinic B,Contacted - No Appointment,27,No,
L01935,13-05-2025,,Google Ads,Root Canal,Clinic D,Contacted - No Appointment,15,No,
L01936,10-01-2025,P01936,Facebook,Root Canal,Clinic B,Appointment Booked,12,Yes,15-01-2025
L01937,09-02-2025,,Facebook,Teeth Whitening,Clinic A,Contacted - No Appointment,22,No,
L01938,11-04-2025,,Referral,Dental Implant,Clinic D,Contacted - No Appointment,10,No,
L01939,25-11-2025,P01939,Google Ads,Invisalign,Clinic C,Appointment Booked,5,Yes,29-11-2025
L01940,05-12-2025,,Google Organic,Root Canal,Clinic C,Contacted - No Appointment,15,No,
L01941,09-02-2025,P01941,Facebook,Root Canal,Clinic A,Appointment Booked,53,Yes,16-02-2025
L01942,14-07-2025,,Google Organic,Root Canal,Clinic A,Contacted - No Appointment,27,No,
L01943,14-10-2025,P01943,Facebook,Teeth Whitening,Clinic C,Appointment Booked,13,Yes,25-10-2025
L01944,27-03-2025,P01944,Google Ads,Invisalign,Clinic A,Appointment Booked,27,Yes,04-04-2025
L01945,06-05-2025,,Referral,Root Canal,Clinic B,Contacted - No Appointment,40,No,
L01946,22-09-2025,,Google Ads,Dental Crown,Clinic C,Contacted - No Appointment,11,No,
L01947,21-06-2025,,Instagram,Invisalign,Clinic B,Contacted - No Appointment,27,No,
L01948,25-10-2025,P01948,Referral,Teeth Whitening,Clinic D,Appointment Booked,15,Yes,05-11-2025
L01949,17-06-2025,,Google Ads,Root Canal,Clinic D,Contacted - No Appointment,43,No,
L01950,12-08-2025,,Instagram,Root Canal,Clinic C,Contacted - No Appointment,13,No,
L01951,27-11-2025,,Google Organic,Teeth Whitening,Clinic A,Contacted - No Appointment,14,No,
L01952,19-04-2025,,Referral,Invisalign,Clinic A,Contacted - No Appointment,25,No,
L01953,18-02-2025,P01953,Google Organic,General Dentistry,Clinic B,Appointment Booked,10,Yes,24-02-2025
L01954,06-12-2025,,Google Ads,Dental Crown,Clinic A,Contacted - No Appointment,9,No,
L01955,15-07-2025,,Google Organic,Dental Crown,Clinic D,Contacted - No Appointment,42,No,
L01956,25-06-2025,P01956,Google Organic,General Dentistry,Clinic A,Appointment Booked,37,Yes,28-06-2025
L01957,27-10-2025,,Google Organic,Teeth Whitening,Clinic B,Contacted - No Appointment,31,No,
L01958,28-10-2025,,Referral,Dental Crown,Clinic B,Contacted - No Appointment,12,No,
L01959,22-05-2025,,Google Ads,Teeth Whitening,Clinic C,Contacted - No Appointment,19,No,
L01960,16-04-2025,,Google Ads,Root Canal,Clinic A,Contacted - No Appointment,21,No,
L01961,19-05-2025,,Instagram,Root Canal,Clinic B,Not Contacted/Cold,51,No,
L01962,20-12-2025,,Referral,Dental Implant,Clinic B,Contacted - No Appointment,18,No,
L01963,22-01-2025,P01963,Facebook,Dental Implant,Clinic D,Appointment Booked,11,Yes,30-01-2025
L01964,22-12-2025,,Referral,General Dentistry,Clinic A,Contacted - No Appointment,29,No,
L01965,24-03-2025,P01965,Referral,Dental Implant,Clinic D,Appointment Booked,22,Yes,26-03-2025
L01966,26-09-2025,,Referral,Dental Implant,Clinic D,Contacted - No Appointment,32,No,
L01967,07-11-2025,P01967,Referral,Teeth Whitening,Clinic B,Appointment Booked,45,Yes,20-11-2025
L01968,23-06-2025,P01968,Referral,Dental Implant,Clinic D,Appointment Booked,47,Yes,24-06-2025
L01969,14-02-2025,P01969,Google Organic,Invisalign,Clinic A,Appointment Booked,13,Yes,18-02-2025
L01970,14-08-2025,,Google Organic,Dental Crown,Clinic D,Contacted - No Appointment,15,No,
L01971,07-06-2025,,Google Ads,Dental Crown,Clinic C,Contacted - No Appointment,2,No,
L01972,03-09-2025,,Google Ads,Teeth Whitening,Clinic B,Contacted - No Appointment,11,No,
L01973,19-11-2025,,Google Ads,Root Canal,Clinic B,Contacted - No Appointment,18,No,
L01974,24-03-2025,,Google Ads,Root Canal,Clinic A,Contacted - No Appointment,43,No,
L01975,14-11-2025,P01975,Google Ads,Teeth Whitening,Clinic D,Appointment Booked,18,Yes,17-11-2025
L01976,21-06-2025,,Referral,Root Canal,Clinic A,Contacted - No Appointment,35,No,
L01977,17-02-2025,P01977,Instagram,Dental Crown,Clinic C,Appointment Booked,12,Yes,22-02-2025
L01978,19-02-2025,P01978,Facebook,General Dentistry,Clinic B,Appointment Booked,8,Yes,22-02-2025
L01979,25-05-2025,P01979,Google Organic,Root Canal,Clinic D,Appointment Booked,19,Yes,03-06-2025
L01980,24-10-2025,,Facebook,Root Canal,Clinic A,Contacted - No Appointment,23,No,
L01981,08-10-2025,,Google Ads,Dental Implant,Clinic C,Contacted - No Appointment,11,No,
L01982,12-01-2025,,Referral,Dental Crown,Clinic B,Contacted - No Appointment,7,No,
L01983,15-10-2025,P01983,Facebook,Dental Implant,Clinic C,Appointment Booked,13,Yes,28-10-2025
L01984,01-10-2025,,Google Organic,Root Canal,Clinic A,Contacted - No Appointment,29,No,
L01985,27-02-2025,,Google Ads,Teeth Whitening,Clinic A,Contacted - No Appointment,19,No,
L01986,19-03-2025,P01986,Facebook,Root Canal,Clinic A,Appointment Booked,9,Yes,26-03-2025
L01987,25-05-2025,P01987,Google Organic,Invisalign,Clinic C,Appointment Booked,10,Yes,28-05-2025
L01988,05-04-2025,P01988,Google Ads,Teeth Whitening,Clinic A,Appointment Booked,31,Yes,13-04-2025
L01989,13-10-2025,,Referral,Invisalign,Clinic C,Contacted - No Appointment,17,No,
L01990,25-03-2025,P01990,Google Ads,Teeth Whitening,Clinic A,Appointment Booked,6,Yes,05-04-2025
L01991,13-12-2025,,Facebook,Dental Crown,Clinic D,Contacted - No Appointment,40,No,
L01992,16-10-2025,P01992,Referral,Dental Implant,Clinic D,Appointment Booked,6,Yes,30-10-2025
L01993,19-03-2025,,Referral,General Dentistry,Clinic C,Contacted - No Appointment,36,No,
L01994,10-05-2025,P01994,Google Ads,Invisalign,Clinic B,Appointment Booked,12,Yes,15-05-2025
L01995,23-06-2025,,Google Ads,General Dentistry,Clinic A,Contacted - No Appointment,9,No,
L01996,12-11-2025,P01996,Google Organic,Dental Implant,Clinic A,Appointment Booked,21,Yes,22-11-2025
L01997,14-06-2025,P01997,Google Ads,Invisalign,Clinic B,Appointment Booked,16,Yes,18-06-2025
L01998,10-06-2025,,Facebook,Invisalign,Clinic C,Contacted - No Appointment,13,No,
L01999,05-05-2025,,Google Organic,Dental Implant,Clinic C,Contacted - No Appointment,22,No,
L02000,11-05-2025,,Instagram,Teeth Whitening,Clinic D,Contacted - No Appointment,7,No,
L02001,19-11-2025,P02001,Google Ads,Dental Crown,Clinic B,Appointment Booked,20,Yes,02-12-2025
L02002,29-10-2025,P02002,Facebook,Teeth Whitening,Clinic C,Appointment Booked,21,Yes,12-11-2025
L02003,12-05-2025,,Referral,Invisalign,Clinic B,Contacted - No Appointment,12,No,
L02004,14-10-2025,P02004,Instagram,Root Canal,Clinic C,Appointment Booked,1,Yes,18-10-2025
L02005,04-07-2025,,Google Organic,Dental Crown,Clinic B,Contacted - No Appointment,16,No,
L02006,22-01-2025,,Facebook,Root Canal,Clinic B,Contacted - No Appointment,16,No,
L02007,29-12-2025,,Google Ads,Dental Crown,Clinic B,Contacted - No Appointment,15,No,
L02008,09-12-2025,,Google Ads,Dental Crown,Clinic C,Contacted - No Appointment,4,No,
L02009,09-06-2025,P02009,Facebook,Dental Implant,Clinic D,Appointment Booked,20,Yes,18-06-2025
L02010,11-10-2025,,Google Ads,Teeth Whitening,Clinic B,Contacted - No Appointment,33,No,
L02011,07-08-2025,,Facebook,Teeth Whitening,Clinic A,Contacted - No Appointment,15,No,
L02012,16-06-2025,P02012,Google Organic,Dental Crown,Clinic B,Appointment Booked,7,Yes,27-06-2025
L02013,24-02-2025,,Google Organic,Dental Implant,Clinic C,Contacted - No Appointment,25,No,
L02014,13-11-2025,,Google Ads,Invisalign,Clinic A,Not Contacted/Cold,46,No,
L02015,02-06-2025,,Google Organic,Root Canal,Clinic D,Contacted - No Appointment,9,No,
L02016,07-01-2025,,Google Organic,Invisalign,Clinic D,Contacted - No Appointment,9,No,
L02017,25-10-2025,,Google Ads,Invisalign,Clinic D,Contacted - No Appointment,40,No,
L02018,04-03-2025,,Google Ads,Teeth Whitening,Clinic A,Contacted - No Appointment,16,No,
L02019,27-12-2025,,Instagram,Dental Crown,Clinic D,Contacted - No Appointment,4,No,
L02020,18-08-2025,,Facebook,Dental Crown,Clinic C,Not Contacted/Cold,55,No,
L02021,17-12-2025,,Google Ads,Invisalign,Clinic B,Contacted - No Appointment,2,No,
L02022,07-06-2025,,Google Ads,General Dentistry,Clinic C,Contacted - No Appointment,3,No,
L02023,31-05-2025,,Google Ads,Invisalign,Clinic D,Contacted - No Appointment,7,No,
L02024,10-07-2025,P02024,Referral,Teeth Whitening,Clinic B,Appointment Booked,30,Yes,18-07-2025
L02025,22-04-2025,,Google Organic,General Dentistry,Clinic B,Contacted - No Appointment,31,No,
L02026,23-07-2025,,Facebook,Teeth Whitening,Clinic B,Contacted - No Appointment,6,No,
L02027,16-06-2025,P02027,Referral,General Dentistry,Clinic C,Appointment Booked,10,Yes,27-06-2025
L02028,28-10-2025,,Instagram,Dental Crown,Clinic A,Contacted - No Appointment,23,No,
L02029,21-10-2025,,Google Organic,Invisalign,Clinic D,Not Contacted/Cold,46,No,
L02030,05-01-2025,,Google Ads,Invisalign,Clinic C,Contacted - No Appointment,1,No,
L02031,17-03-2025,P02031,Instagram,Invisalign,Clinic C,Appointment Booked,3,Yes,26-03-2025
L02032,19-02-2025,P02032,Google Ads,Dental Implant,Clinic A,Appointment Booked,12,Yes,20-02-2025
L02033,27-12-2025,P02033,Facebook,Dental Crown,Clinic C,Appointment Booked,5,Yes,30-12-2025
L02034,30-12-2025,,Google Ads,Invisalign,Clinic A,Contacted - No Appointment,39,No,
L02035,13-06-2025,,Google Ads,Teeth Whitening,Clinic A,Contacted - No Appointment,17,No,
L02036,20-08-2025,,Google Ads,Root Canal,Clinic C,Contacted - No Appointment,37,No,
L02037,25-02-2025,P02037,Facebook,Root Canal,Clinic B,Appointment Booked,23,Yes,08-03-2025
L02038,11-09-2025,,Google Organic,General Dentistry,Clinic C,Contacted - No Appointment,29,No,
L02039,28-02-2025,,Facebook,Invisalign,Clinic A,Contacted - No Appointment,11,No,
L02040,22-06-2025,,Google Organic,Teeth Whitening,Clinic B,Contacted - No Appointment,3,No,
L02041,11-05-2025,P02041,Instagram,Teeth Whitening,Clinic A,Appointment Booked,16,Yes,13-05-2025
L02042,24-06-2025,,Facebook,Invisalign,Clinic D,Contacted - No Appointment,34,No,
L02043,14-10-2025,P02043,Google Ads,Root Canal,Clinic C,Appointment Booked,54,Yes,28-10-2025
L02044,24-07-2025,,Referral,Root Canal,Clinic C,Contacted - No Appointment,15,No,
L02045,10-03-2025,,Google Ads,Teeth Whitening,Clinic B,Contacted - No Appointment,30,No,
L02046,26-12-2025,,Google Organic,Dental Crown,Clinic A,Contacted - No Appointment,11,No,
L02047,17-12-2025,,Instagram,Root Canal,Clinic D,Contacted - No Appointment,13,No,
L02048,18-11-2025,,Facebook,Teeth Whitening,Clinic B,Contacted - No Appointment,17,No,
L02049,20-09-2025,,Google Ads,Invisalign,Clinic B,Not Contacted/Cold,48,No,
L02050,20-07-2025,P02050,Facebook,Teeth Whitening,Clinic C,Appointment Booked,29,Yes,31-07-2025
L02051,28-08-2025,,Referral,General Dentistry,Clinic A,Contacted - No Appointment,26,No,
L02052,28-05-2025,,Google Organic,General Dentistry,Clinic D,Not Contacted/Cold,46,No,
L02053,27-02-2025,,Referral,Teeth Whitening,Clinic C,Contacted - No Appointment,10,No,
L02054,04-12-2025,,Facebook,Root Canal,Clinic B,Contacted - No Appointment,15,No,
L02055,04-05-2025,,Facebook,General Dentistry,Clinic A,Contacted - No Appointment,26,No,
L02056,11-09-2025,,Google Ads,Root Canal,Clinic A,Contacted - No Appointment,12,No,
L02057,06-06-2025,,Referral,Dental Crown,Clinic D,Contacted - No Appointment,14,No,
L02058,18-09-2025,,Facebook,Dental Implant,Clinic C,Contacted - No Appointment,22,No,
L02059,04-04-2025,,Facebook,General Dentistry,Clinic A,Contacted - No Appointment,18,No,
L02060,02-03-2025,P02060,Referral,Teeth Whitening,Clinic A,Appointment Booked,7,Yes,04-03-2025
L02061,19-07-2025,,Facebook,Teeth Whitening,Clinic C,Contacted - No Appointment,10,No,
L02062,03-11-2025,,Instagram,Dental Implant,Clinic C,Contacted - No Appointment,7,No,
L02063,06-05-2025,,Google Ads,Teeth Whitening,Clinic B,Contacted - No Appointment,30,No,
L02064,31-08-2025,,Facebook,Teeth Whitening,Clinic B,Contacted - No Appointment,10,No,
L02065,06-06-2025,,Referral,Dental Crown,Clinic A,Contacted - No Appointment,27,No,
L02066,24-07-2025,,Instagram,Invisalign,Clinic C,Contacted - No Appointment,20,No,
L02067,04-01-2025,,Google Ads,Root Canal,Clinic D,Contacted - No Appointment,18,No,
L02068,20-08-2025,P02068,Google Ads,Dental Implant,Clinic A,Appointment Booked,6,Yes,30-08-2025
L02069,05-03-2025,,Facebook,Root Canal,Clinic C,Contacted - No Appointment,20,No,
L02070,28-03-2025,P02070,Instagram,Invisalign,Clinic B,Appointment Booked,25,Yes,05-04-2025
L02071,30-09-2025,P02071,Google Ads,Invisalign,Clinic B,Appointment Booked,30,Yes,11-10-2025
L02072,02-12-2025,P02072,Instagram,Dental Implant,Clinic A,Appointment Booked,7,Yes,04-12-2025
L02073,26-07-2025,P02073,Facebook,Invisalign,Clinic D,Appointment Booked,15,Yes,05-08-2025
L02074,02-11-2025,,Google Organic,Dental Implant,Clinic B,Contacted - No Appointment,35,No,
L02075,20-10-2025,,Google Ads,General Dentistry,Clinic C,Contacted - No Appointment,33,No,
L02076,13-11-2025,,Google Organic,Root Canal,Clinic B,Contacted - No Appointment,17,No,
L02077,13-07-2025,P02077,Facebook,Root Canal,Clinic A,Appointment Booked,6,Yes,24-07-2025
L02078,06-06-2025,,Facebook,Root Canal,Clinic A,Contacted - No Appointment,31,No,
L02079,26-08-2025,,Referral,Dental Crown,Clinic C,Contacted - No Appointment,18,No,
L02080,18-01-2025,P02080,Google Ads,General Dentistry,Clinic A,Appointment Booked,9,Yes,31-01-2025
L02081,25-09-2025,P02081,Facebook,Dental Implant,Clinic C,Appointment Booked,16,Yes,27-09-2025
L02082,18-02-2025,P02082,Facebook,Invisalign,Clinic B,Appointment Booked,6,Yes,19-02-2025
L02083,12-05-2025,,Facebook,General Dentistry,Clinic B,Contacted - No Appointment,31,No,
L02084,20-10-2025,P02084,Instagram,Root Canal,Clinic B,Appointment Booked,4,Yes,21-10-2025
L02085,25-06-2025,P02085,Google Ads,Dental Implant,Clinic B,Appointment Booked,37,Yes,04-07-2025
L02086,16-05-2025,,Instagram,Dental Implant,Clinic A,Contacted - No Appointment,22,No,
